"filename", "language", "C++", "CMake", "Codex Rules", "JSON", "YAML", "Dart", "Markdown", "HTML", "Swift", "XML", "Properties", "comment", "blank", "total"
"c:\FlutterProject\truyen_huyen_thoai_real\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 7, 18
"c:\FlutterProject\truyen_huyen_thoai_real\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\FlutterProject\truyen_huyen_thoai_real\android\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 7, 18
"c:\FlutterProject\truyen_huyen_thoai_real\android\analysis_options.yaml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\google-services.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 20, 6, 81
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 5, 2, 14
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"c:\FlutterProject\truyen_huyen_thoai_real\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"c:\FlutterProject\truyen_huyen_thoai_real\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 604, 0, 0, 0, 2, 115, 721
"c:\FlutterProject\truyen_huyen_thoai_real\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
